model,model_ru,feature,feature_ru,block,block_ru,importance_mean,importance_std,feature_set,validation,n_repeats,n_train,n_test,logreg_coef,logreg_abs_coef,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr,rank_strict,rank_in_model,importance_positive
logreg,Логистическая регрессия,aper__aperiodic_exponent__temporal,Апериодический компонент · экспонента 1/f · височная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.01993909503333305,0.01993909503333305,0.7570954106280193,0.9890803146166957,0.9890803146166957,1.411494995852662e-07,36,36,0.0
logreg,Логистическая регрессия,aper__aperiodic_slope__temporal,Апериодический компонент · наклон 1/f · височная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.01993909503333305,0.01993909503333305,0.7570954106280193,-0.9890803146166957,0.9890803146166957,1.411494995852662e-07,37,37,0.0
logreg,Логистическая регрессия,spec_shape__sef95_hz__frontal,Интегральные спектральные характеристики · SEF95 hz · лобная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.1196198594470452,0.1196198594470452,0.7543780193236715,-0.9746918387024786,0.9746918387024786,1.9386187668045674e-07,38,38,0.0
logreg,Логистическая регрессия,burst__pct_time__parietal_alpha,Ритмические эпизоды · pct time · теменная область α,burst,Ритмические эпизоды,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.19200962235171531,0.19200962235171531,0.7540760869565218,0.9235073241276345,0.9235073241276345,1.9472268124562714e-07,39,39,0.0
logreg,Логистическая регрессия,burst__pct_time__central_alpha,Ритмические эпизоды · pct time · центральная область α,burst,Ритмические эпизоды,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.21523729787363122,0.21523729787363122,0.7539251207729469,0.9933777521342236,0.9933777521342236,1.9472268124562714e-07,40,40,0.0
logreg,Логистическая регрессия,conn__clustering__plv_delta,Функциональная связность · кластеризация · PLV δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.0036140478736930125,0.0036140478736930125,0.751358695652174,-0.8560275978972943,0.8560275978972943,2.555610097778762e-07,41,41,0.0
logreg,Логистическая регрессия,event__slope_rise_uvs,Транзиентные события · slope rise uvs,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.08095672787832893,0.08095672787832893,0.7468297101449275,0.5935143413376659,0.5935143413376659,4.3694718312121074e-07,42,42,0.0
logreg,Логистическая регрессия,spec_shape__spectral_entropy_norm__temporal,Интегральные спектральные характеристики · спектральная энтропия norm · височная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.11848046732489796,0.11848046732489796,0.742451690821256,-0.8410157663110327,0.8410157663110327,7.104759709903698e-07,43,43,0.0
logreg,Логистическая регрессия,spec_shape__spectral_entropy_raw__temporal,Интегральные спектральные характеристики · спектральная энтропия · височная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.11848046732489753,0.11848046732489753,0.742451690821256,-0.8410157663110321,0.8410157663110321,7.104759709903698e-07,44,44,0.0
logreg,Логистическая регрессия,event__slope_fall_uvs,Транзиентные события · slope fall uvs,event,Транзиентные события,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.0989537364662509,0.0989537364662509,0.7404891304347826,-0.5579543084276651,0.5579543084276651,8.79473730321795e-07,45,45,0.0
