feature,feature_ru,block,block_ru,n_models_top_n,mean_rank,best_rank,mean_importance,max_importance,models_top_n,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
aper__aperiodic_exponent__temporal,Апериодика · Апериодикаiodic exponent · temporal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7570954106280193,0.9890803146166957,0.9890803146166957,1.416184347998352e-07
aper__aperiodic_intercept_log10__central,Апериодика · Апериодикаiodic intercept log10 · central,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7743055555555556,1.0490147568707586,1.0490147568707586,2.2084336697148785e-08
aper__aperiodic_intercept_log10__frontal,Апериодика · Апериодикаiodic intercept log10 · frontal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7964975845410628,1.1285406098796067,1.1285406098796067,1.7919563240071007e-09
aper__aperiodic_intercept_log10__occipital,Апериодика · Апериодикаiodic intercept log10 · occipital,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7356582125603865,0.8614408481124481,0.8614408481124481,1.4982754299774123e-06
aper__aperiodic_intercept_log10__parietal,Апериодика · Апериодикаiodic intercept log10 · parietal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.8057065217391304,1.1420608092640874,1.1420608092640874,5.533663471002323e-10
aper__aperiodic_intercept_log10__temporal,Апериодика · Апериодикаiodic intercept log10 · temporal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.8055555555555556,1.1375749353435916,1.1375749353435916,5.533663471002323e-10
aper__aperiodic_slope__central,Апериодика · Апериодикаiodic slope · central,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7339975845410628,-0.9095961341514031,0.9095961341514031,1.7455409926346669e-06
aper__aperiodic_slope__occipital,Апериодика · Апериодикаiodic slope · occipital,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6559480676328502,-0.5979646438812802,0.5979646438812802,0.00179316988308211
aper__aperiodic_slope__parietal,Апериодика · Апериодикаiodic slope · parietal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7673611111111112,-0.9890745135324296,0.9890745135324296,4.478625569066696e-08
aper__aperiodic_slope__temporal,Апериодика · Апериодикаiodic slope · temporal,aper,Апериодика,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7570954106280193,-0.9890803146166957,0.9890803146166957,1.416184347998352e-07
burst__mean_amp__central_alpha,Вспышки · mean amp · central alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5768417874396136,0.17543748881673588,0.17543748881673588,0.15350924769607935
burst__mean_amp__central_beta,Вспышки · mean amp · central beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5993357487922706,-0.33226239102223165,0.33226239102223165,0.05795020717588409
burst__mean_amp__frontal_alpha,Вспышки · mean amp · frontal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6204710144927537,0.36440584321385616,0.36440584321385616,0.01911666447578181
burst__mean_amp__frontal_beta,Вспышки · mean amp · frontal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5418176328502415,-0.137220559461202,0.137220559461202,0.47213022471493593
