band,channel,tbi_mean,control_mean,delta_tbi_minus_control,hedges_g,p_value,n_tbi,n_control,q_fdr
gamma,F2,0.04666174237025921,0.05305183678243145,-0.00639009441217224,-0.1771009113430658,0.012652000256209403,92,72,0.013716542965297451
gamma,F3,0.060290599783258576,0.08417514380015292,-0.023884544016894348,-0.4869602649613637,0.000287134956140239,92,72,0.0004626063182259406
gamma,F4,0.0657743386059576,0.08785224987587253,-0.02207791126991493,-0.4691948964747724,0.0007038743721599468,92,72,0.0010467875278276132
gamma,F5,0.06977040935939205,0.09415076104042969,-0.024380351681037638,-0.5012699670716854,0.00019450866556336853,92,72,0.0003589571837725935
gamma,F6,0.07249958608261806,0.09959400812962678,-0.027094422047008723,-0.5419061028899003,7.558326400849302e-05,92,72,0.00018520953016759207
gamma,F7,0.06246171199687195,0.09020261302960536,-0.02774090103273341,-0.5966344955395281,2.2059908259077753e-05,92,72,0.00010114980128263514
gamma,F8,0.06198686421755369,0.09012751248592205,-0.028140648268368353,-0.6484913064654662,4.4846355622041835e-06,92,72,5.4078755370201955e-05
gamma,FC1,0.035384703719238124,0.04933502786468038,-0.013950324145442256,-0.557488920437818,8.798450217261616e-05,92,72,0.0002041240450404695
gamma,FC2,0.041281988645897764,0.05015747443221566,-0.008875485786317895,-0.3014572327357436,0.006487837659777114,92,72,0.007378325181707306
gamma,FC3,0.06358113810998013,0.09886235211238513,-0.035281214002405,-0.7225887382061282,4.8924043577221626e-05,92,72,0.0001418797263739427
gamma,FC4,0.07307355533296836,0.1018915622302264,-0.02881800689725804,-0.5050100255848866,0.0008327408343301019,92,72,0.0011499754378844263
